Asset ID	Quartex UniqueIdentifier	Quartex Name	Collection(s)	Published URL	Title	People and Organizations	Location	Approximate Date	Abstract	Description	Identifier	Language	Publisher	Date	Rights	Source	Subject	Format Genre	Format	Repository	Special Collections	University Archives	Time Span	Date Digital	Digitization Specifications	Original Handle	Rights Summary	Accessibility Feature	Accessibility Summary	Legacy Subjects
266404	6ccc3880-63b2-4b06-ae3f-e86ff875452d	pcast0001	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-on-u.s.-preparations-for-2009-h1n1-influenza/266404	Report to the President on U.S. Preparations for 2009-H1N1 Influenza	"Varmus, Harold|The President's Council of Advisors on Science and Technology (PCAST)|Lander, Eric S."				"The novel influenza A (H1N1) virus (2009-H1N1) appeared in Mexico in April 2009 and was declared a level 6 pandemic by the World Health Organization in June 2009. This report delivered to President Barack Obama includes observations, conclusions, and recommendations from the Presidents's Council of Advisors on Science and Technology (PCAST) 2009-H1N1 Working Group. The group offers insights and analysis on eight major points: the United States' experience with influenza in the 20th century; a potential resurgence of 2009-H1N1 in the fall of 2009; aspects of influenza activity surveillance; the United States' response to the pandemic; minimizing financial and organizational costs of pandemic response; improving both government and public communication concerning pandemics; and improving overall influenza response planning and strategy. The report advances several recommendations based on these analyses, including the creation of logistical plans, acceleration of vaccine production, and encouragement of multi-agency response efforts."	pcast0001	eng	Rice University	20090807	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government|Health and medicine	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2000s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/112990	Public domain	taggedPDF		United States. President (2009-2017 : Obama)|H1N1 influenza|H1N1 influenza--Government policy--United States
266405	61af38e3-1692-4121-b245-c52d2848f67b	pcast0005	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-realizing-the-full-potential-of-health-technology-to-improve-healthcare-for-americans-the-path-forward/266405	Report to the President Realizing the Full Potential of Health Technology to Improve Healthcare for Americans: The Path Forward	"Cassel, Christine|Mundie, Craig|The President's Council of Advisors on Science and Technology (PCAST)"				"New information technologies (IT) in healthcare systems promise a variety of benefits, such as reduced healthcare costs, yet enjoy comparatively little adoption and often fall short of their potential. While IT has had a profound impact on many sectors of the economy, several factors have softened this impact on healthcare systems, including proprietary data systems, lack of incentives for accessibility to medical records, and concerns about privacy. Recognizing these factors, the Presidents's Council of Advisors on Science and Technology (PCAST) recommends that the Department of Health and Human Services (HHS) work toward creating a universal exchange language for health IT and that the federal government invests further in health IT."	pcast0005	eng	Rice University	201010	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government|Health and medicine	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/112994	Public domain	taggedPDF		United States. President (2009-2017 : Obama)|Information technology
266406	1227dae8-2cb7-487a-9815-de50492a1f9a	pcast0003	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-and-congress-designing-a-digital-future-federally-funded-research-and-development-in-networking-and-information-technology/266406	Report to the President and Congress Designing a Digital Future: Federally Funded Research and Development in Networking and Information Technology	"Shaw, David E.|Lazowska, Edward D.|The President's Council of Advisors on Science and Technology (PCAST)"				"The Federal Networking and Information Technology Research and Development (NITRD) program coordinates all unclassified federally funded research and development (R&D) activities in networking and information technology. The Presidents's Council of Advisors on Science and Technology (PCAST) provides an assessment of the NITRD program and recommends that it should be expanded to enhance more areas of American infrastructure, such as healthcare, energy, domestic security, and transportation. Additionally, PCAST calls for a more accurate account of NITRD activities to ensure funding is representative of R&D and R&D infrastructure, rather than more traditional networking and information technology infrastructure."	pcast0003	eng	Rice University	201012	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/112992	Public domain	taggedPDF		United States. President (2009-2017 : Obama)|Computer networks|Computer science
266407	4c4edf2b-8dd9-4cd3-8148-ec7b0b8b842e	pcast0004	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-prepare-and-inspire-k-12-education-in-science-technology-engineering-and-math-stem-for-americas-future/266407	"Report to the President Prepare and Inspire: K-12 Education in Science, Technology, Engineering, and Math (STEM) for America's future"	"Gates, S. James, Jr.|The President's Council of Advisors on Science and Technology (PCAST)|Lander, Eric S."				"U.S. leadership in science, technology, engineering, and mathematics (STEM) K-12 education is vital to ensuring economic growth in an increasingly technological world. However, international comparisons demonstrate that American K-12 student interest and performance in STEM fields are falling behind other nations. Additionally, there is a significant and persistent achievement and interest gap among women and African American, Hispanic, and Indigenous groups in STEM fields. PCAST recommends that the federal government take measures to revitalize the nations STEM teaching workforce and inspire students to take an interest in STEM subjects through new technologies, new schools, and new STEM-based extracurricular activities."	pcast0004	eng	Rice University	201009	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/112993	Public domain	taggedPDF		United States. President (2009-2017 : Obama)|Science--Study and teaching
266408	0530c901-140c-46c1-82b2-e68c3e96d37c	pcast0002	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-on-accelerating-the-pace-of-change-in-energy-technologies-through-an-integrated-federal-energy-policy/266408	Report to the President on Accelerating the Pace of Change in Energy Technologies through an Integrated Federal Energy Policy	"Moniz, Ernest J.|Savitz, Maxine|The President's Council of Advisors on Science and Technology (PCAST)"				"Energy security and the transition to affordable, clean energy sources require a federal energy policy that prioritizes energy technology innovation. The Presidents's Council of Advisors on Science and Technology (PCAST) analyzes the processes and stages of technological adoption; the development and implementation of federal energy policies; financial and organizational requirements of constructive R&D; and aspects of the Department of Energys (DOE) participation in the direction of federal energy policy. Some of the recommendations based on these analyses include the establishment of a Quadrennial Energy Review process to review and renew federal energy policy every four years; an increase in research funding for energy research, development, demonstration, and deployment; and a proposal that the DOE establish training grant programs at universities."	pcast0002	eng	Rice University	201011	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/112991	Public domain	taggedPDF		United States. President (2009-2017 : Obama)|Energy policy--United States|Energy research|Climate change|United States. Department of Energy
266409	1293f415-e642-428a-8b09-63cc5101115f	pcast0006	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-on-reengineering-the-infleunza-vaccine-production-enterprise-to-meet-the-challenges-of-pandemic-influenza/266409	Report to the President on Reengineering the Infleunza Vaccine Production Enterprise to Meet the Challenges of Pandemic Influenza	"Varmus, Harold|The President's Council of Advisors on Science and Technology (PCAST)|Lander, Eric S."				"The effectiveness of vaccines against influenza pandemics greatly depends on their timeliness and availability, and administrative or logistical barriers must be addressed to ensure effective vaccine distribution in the future. In the case of the 2009 H1N1 influenza pandemic, delays in manufacturing meant that vaccines were only just being distributed by the time the second wave of the pandemic was hitting its peak. To prevent such occurrences in the future, the Presidents's Council of Advisors on Science and Technology (PCAST) recommends a comprehensive reorientation of several federal disease-control agencies towards quicker analysis of and preparation for pandemic threats, along with creating a support structure that ensures large-scale, rapid vaccine production."	pcast0006	eng	Rice University	201008	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government|Health and medicine	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/112995	Public domain	taggedPDF		United States. President (2009-2017 : Obama)|Influenza|Pandemics
266410	3ecad678-82ea-4aa4-8cdc-c90c56f4f88a	pcast0007	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-and-congress-on-the-third-assessment-of-the-national-nanotechnology-initative/266410	Report to the President and Congress on the Third Assessment of the National Nanotechnology Initative	"Savitz, Maxine|Penhoet, Ed|The President's Council of Advisors on Science and Technology (PCAST)"				"The National Nanotechnology Initiative (NNI) was established in fiscal year 2001 and has since become one of the United States most successful science and technology research and development (R&D) programs. By 2010, the NNI had received $12 billion in federal funding and expanded to include 25 federal agencies. The Presidents's Council of Advisors on Science and Technology (PCAST) has been designated by the 21st Century Nanotechnology Research and Development Act (Public Law 108-153) to serve as the National Nanotechnology Advisory Panel (NNAP) and to provide regular assessments of NNI to Congress. In this third assessment of the NNI, the NNAP determines that foreign competition ""particularly from China, South Korea, and Japan ""remains a concern, although the United States still maintains its leadership by several metrics. The NNAP also makes several recommendations based on three categories: program management (such as continued investment in education commercialization), nanotechnology outcomes (such as improving career prospects and job training), and nanotech factors related to environment, health, and safety (such as identifying risks and filling in knowledge gaps)."	pcast0007	eng	Rice University	20100312	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/112996	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266411	96615693-c772-4351-a2cc-1ed85acb1890	pcast0008	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-on-ensuring-american-leadership-in-advanced-manufacturing/266411	Report to the President on Ensuring American Leadership in Advanced Manufacturing	The President's Council of Advisors on Science and Technology (PCAST)				"Foreign competition threatens to overtake the United States historically unparalleled manufacturing sector, but there are several policy actions that can be undertaken to prevent the United States from losing ground to other nations. The Presidents's Council of Advisors on Science and Technology (PCAST) argues that a commitment to innovation in advanced manufacturing would create the infrastructure necessary to encourage technology-based enterprises to invest in the United States. PCAST recommends the launch of an Advanced Manufacturing Initiative (AMI), a joint program between the Department of Commerce, Department of Defense, and Department of Energy that would develop and initiate a strategy for federal investments in innovative, incentivizing manufacturing."	pcast0008	eng	Rice University	201106	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/112997	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266412	53b00e95-8aa8-4c38-8202-6366995f1b22	pcast0010	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-on-agriculture-preparedness-and-the-agriculture-research-enterprise/266412	Report to the President on Agriculture Preparedness and the Agriculture Research Enterprise	"Schrag, Daniel|Schaal, Barbara|The President's Council of Advisors on Science and Technology (PCAST)"				"To remain a global leader in agricultural production, the United States requires new research and development (R&D) strategies to prepare the nation for agricultural challenges of the 21st century and the changing climate. The Presidents's Council of Advisors on Science and Technology (PCAST) argues that current agricultural R&D efforts fail to address emerging issues, such as new pests and pathogens, agricultures environmental impacts, and international food security, due to a lack of public investment in agricultural R&D. PCAST recommends that the federal government increase funding for agricultural R&D and develop a new innovation ecosystemù for agriculture that will realign current agricultural R&D strategies towards more future-oriented investments."	pcast0010	eng	Rice University	201212	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government|Agriculture	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/112999	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
266413	8fc0001a-24e5-4ffa-b596-3e15bbaa8030	pcast0009	PCAST reports	digitalcollections.rice.edu/documents/detail/report-to-the-president-sustaining-environmental-capital-protecting-society-and-the-economy/266413	Report to the President Sustaining Environmental Capital: Protecting Society and the Economy	"Bierbaum, Rosina|Schaal, Barbara|The President's Council of Advisors on Science and Technology (PCAST)"				"Environmental capital ""the material benefits gained from biodiverse ecosystems ""is a valuable asset that provides many services associated with prosperous modern life. However, continual environmental degradation by human activity not only precludes these services but invites new dangers, such as natural disasters and ecological disruption. The Presidents's Council of Advisors on Science and Technology (PCAST) argues that without government intervention or incentive, private actors will continue to gain benefits from environmental capital without having to account for larger-scale consequences, such as climate change. PCAST recommends that the government implement measures that incentivize private actors to more responsibly utilize their environmental capital and commit direct action towards the protection and restoration of ecosystems under their control."	pcast0009	eng	Rice University	201107	This material is in the public domain and may be freely used.	This report was downloaded from https://obamawhitehouse.archives.gov/administration/eop/ostp/pcast/docsreports/archives in Spring 2021	Politics and government|Natural sciences	reports	Document	Special Collections	White House Scientist and Science Policy Dynamic Digital Archive		2010s	2021	PDFs modified for accessibilty (tagged and OCRed)	https://hdl.handle.net/1911/112998	Public domain	taggedPDF		United States. President (2009-2017 : Obama)
